
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=2, alpha=0: 9.49183, time = 30.4818
Average RMSE for r=2, alpha=0.02: 7.78643, time = 23.995
Average RMSE for r=2, alpha=0.04: 8.00549, time = 18.6863
Average RMSE for r=2, alpha=0.06: 11.9029, time = 16.9887
Average RMSE for r=2, alpha=0.08: 8.69024, time = 18.3947
Average RMSE for r=2, alpha=0.1: 9.81298, time = 26.5019
Average RMSE for r=2, alpha=0.12: 12.4847, time = 20.3193
Average RMSE for r=2, alpha=0.14: 11.6304, time = 26.1384
Average RMSE for r=2, alpha=0.16: 12.8167, time = 38.8107
Average RMSE for r=2, alpha=0.18: 15.255, time = 26.0934
Average RMSE for r=2, alpha=0.2: 8.88787, time = 15.5601
Average RMSE for r=2, alpha=0.22: 9.69447, time = 34.902
Average RMSE for r=2, alpha=0.24: 10.6735, time = 22.5971
Average RMSE for r=2, alpha=0.26: 13.3531, time = 28.9987
Average RMSE for r=2, alpha=0.28: 12.4614, time = 25.8557
Average RMSE for r=2, alpha=0.3: 11.5979, time = 41.126
Average RMSE for r=2, alpha=0.32: 10.9573, time = 45.5258
Average RMSE for r=2, alpha=0.34: 11.2989, time = 32.3788
Average RMSE for r=2, alpha=0.36: 9.72719, time = 20.275
Average RMSE for r=2.5, alpha=0: 8.64527, time = 12.8433
Average RMSE for r=2.5, alpha=0.02: 9.21584, time = 7.60607
Average RMSE for r=2.5, alpha=0.04: 7.28315, time = 18.9871
Average RMSE for r=2.5, alpha=0.06: 7.16172, time = 8.56616
Average RMSE for r=2.5, alpha=0.08: 9.70754, time = 37.0071
Average RMSE for r=2.5, alpha=0.1: 9.54098, time = 25.778
Average RMSE for r=2.5, alpha=0.12: 11.6522, time = 20.692
Average RMSE for r=2.5, alpha=0.14: 10.7847, time = 9.38765
Average RMSE for r=2.5, alpha=0.16: 7.70791, time = 12.5205
Average RMSE for r=2.5, alpha=0.18: 12.1725, time = 22.6877
Average RMSE for r=2.5, alpha=0.2: 9.98516, time = 20.116
Average RMSE for r=2.5, alpha=0.22: 9.03792, time = 25.1152
Average RMSE for r=2.5, alpha=0.24: 6.68394, time = 27.4498
Average RMSE for r=2.5, alpha=0.26: 11.4949, time = 27.727
Average RMSE for r=2.5, alpha=0.28: 13.0284, time = 20.5674
Average RMSE for r=2.5, alpha=0.3: 7.88871, time = 13.2781
Average RMSE for r=2.5, alpha=0.32: 5.45144, time = 6.73749
Average RMSE for r=2.5, alpha=0.34: 5.93514, time = 3.85737
Average RMSE for r=2.5, alpha=0.36: 8.33825, time = 2.99259
Average RMSE for r=3, alpha=0: 5.67773, time = 4.63883
Average RMSE for r=3, alpha=0.02: 8.68009, time = 16.0888
Average RMSE for r=3, alpha=0.04: 11.1284, time = 13.892
Average RMSE for r=3, alpha=0.06: 6.66209, time = 21.0379
Average RMSE for r=3, alpha=0.08: 6.6443, time = 11.8386
