
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=1, alpha=0.15: 0.442011, time = 43.0086
Average RMSE for r=1, alpha=0.17: 1.99246, time = 51.4737
Average RMSE for r=1, alpha=0.19: 2.28718, time = 58.7689
Average RMSE for r=1, alpha=0.21: 2.30389, time = 50.0355
Average RMSE for r=1, alpha=0.23: 2.59942, time = 49.8378
Average RMSE for r=1, alpha=0.25: 1.93625, time = 59.8459
Average RMSE for r=1, alpha=0.27: 2.25145, time = 48.0848
Average RMSE for r=1, alpha=0.29: 2.01886, time = 53.901
Average RMSE for r=1, alpha=0.31: 2.15177, time = 53.2264
Average RMSE for r=1, alpha=0.33: 1.97091, time = 58.7613
Average RMSE for r=1, alpha=0.35: 2.00307, time = 57.3791
Average RMSE for r=1, alpha=0.37: 1.94436, time = 55.7241
Average RMSE for r=1, alpha=0.39: 1.54523, time = 59.2199
Average RMSE for r=1, alpha=0.41: 1.98223, time = 64.2165
Average RMSE for r=1, alpha=0.43: 1.96955, time = 61.7413
Average RMSE for r=1, alpha=0.45: 2.26645, time = 63.6688
Average RMSE for r=1, alpha=0.47: 1.77255, time = 68.065
Average RMSE for r=1, alpha=0.49: 2.08708, time = 72.4103
Average RMSE for r=1, alpha=0.51: 2.04828, time = 63.5318
Average RMSE for r=1.5, alpha=0.15: 2.15646, time = 50.5829
Average RMSE for r=1.5, alpha=0.17: 2.72362, time = 51.7569
Average RMSE for r=1.5, alpha=0.19: 2.74307, time = 47.529
Average RMSE for r=1.5, alpha=0.21: 2.27941, time = 52.8144
Average RMSE for r=1.5, alpha=0.23: 2.35257, time = 51.8052
Average RMSE for r=1.5, alpha=0.25: 1.83684, time = 59.0504
Average RMSE for r=1.5, alpha=0.27: 2.47115, time = 60.9693
Average RMSE for r=1.5, alpha=0.29: 2.18782, time = 50.195
Average RMSE for r=1.5, alpha=0.31: 2.15342, time = 57.1488
Average RMSE for r=1.5, alpha=0.33: 1.95946, time = 57.5079
Average RMSE for r=1.5, alpha=0.35: 2.4409, time = 70.4611
Average RMSE for r=1.5, alpha=0.37: 2.1175, time = 54.6803
Average RMSE for r=1.5, alpha=0.39: 2.53485, time = 57.7406
Average RMSE for r=1.5, alpha=0.41: 1.57388, time = 54.971
Average RMSE for r=1.5, alpha=0.43: 2.41861, time = 66.8392
Average RMSE for r=1.5, alpha=0.45: 2.27955, time = 67.8577
Average RMSE for r=1.5, alpha=0.47: 1.94813, time = 67.3959
Average RMSE for r=1.5, alpha=0.49: 1.62854, time = 56.26
Average RMSE for r=1.5, alpha=0.51: 2.26442, time = 69.5186
Average RMSE for r=2, alpha=0.15: 2.35712, time = 58.7102
Average RMSE for r=2, alpha=0.17: 2.34657, time = 50.3058
Average RMSE for r=2, alpha=0.19: 2.15719, time = 56.9428
Average RMSE for r=2, alpha=0.21: 2.07085, time = 53.005
Average RMSE for r=2, alpha=0.23: 3.80004, time = 51.123
Average RMSE for r=2, alpha=0.25: 1.92918, time = 54.8639
Average RMSE for r=2, alpha=0.27: 2.17398, time = 53.275
Average RMSE for r=2, alpha=0.29: 2.08448, time = 54.1333
Average RMSE for r=2, alpha=0.31: 1.93304, time = 54.5892
Average RMSE for r=2, alpha=0.33: 2.60344, time = 52.4764
Average RMSE for r=2, alpha=0.35: 1.59272, time = 57.6568
Average RMSE for r=2, alpha=0.37: 1.96948, time = 55.507
Average RMSE for r=2, alpha=0.39: 2.06881, time = 52.8766
Average RMSE for r=2, alpha=0.41: 1.80369, time = 54.88
Average RMSE for r=2, alpha=0.43: 1.82185, time = 56.048
Average RMSE for r=2, alpha=0.45: 2.03044, time = 57.2627
Average RMSE for r=2, alpha=0.47: 1.52273, time = 60.2
Average RMSE for r=2, alpha=0.49: 2.14144, time = 69.886
Average RMSE for r=2, alpha=0.51: 2.27579, time = 65.7828
Average RMSE for r=2.5, alpha=0.15: 1.76889, time = 49.7532
Average RMSE for r=2.5, alpha=0.17: 2.40641, time = 51.3852
Average RMSE for r=2.5, alpha=0.19: 2.7273, time = 50.6677
Average RMSE for r=2.5, alpha=0.21: 2.05448, time = 52.2792
Average RMSE for r=2.5, alpha=0.23: 3.26705, time = 52.8588
Average RMSE for r=2.5, alpha=0.25: 2.3837, time = 47.5818
Average RMSE for r=2.5, alpha=0.27: 2.21125, time = 53.2142
Average RMSE for r=2.5, alpha=0.29: 2.34458, time = 48.3543
Average RMSE for r=2.5, alpha=0.31: 2.18509, time = 48.3438
Average RMSE for r=2.5, alpha=0.33: 1.84441, time = 50.4605
Average RMSE for r=2.5, alpha=0.35: 2.56232, time = 51.018
Average RMSE for r=2.5, alpha=0.37: 2.4522, time = 59.3911
Average RMSE for r=2.5, alpha=0.39: 1.97211, time = 54.8709
Average RMSE for r=2.5, alpha=0.41: 1.87853, time = 61.1138
Average RMSE for r=2.5, alpha=0.43: 2.00046, time = 55.927
Average RMSE for r=2.5, alpha=0.45: 2.10346, time = 56.759
Average RMSE for r=2.5, alpha=0.47: 1.60082, time = 55.1246
Average RMSE for r=2.5, alpha=0.49: 2.25511, time = 65.3071
Average RMSE for r=2.5, alpha=0.51: 2.15293, time = 58.2671
