
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=1, alpha=0.15: 0.41837, time = 2.42737
Average RMSE for r=1, alpha=0.17: 2.99415, time = 1.42264
Average RMSE for r=1, alpha=0.19: 3.35998, time = 1.23253
Average RMSE for r=1, alpha=0.21: 3.2397, time = 1.20815
Average RMSE for r=1, alpha=0.23: 2.33359, time = 1.19194
Average RMSE for r=1, alpha=0.25: 3.17212, time = 1.16633
Average RMSE for r=1, alpha=0.27: 2.90648, time = 1.3013
Average RMSE for r=1, alpha=0.29: 2.80389, time = 1.2471
Average RMSE for r=1, alpha=0.31: 2.27822, time = 1.27682
Average RMSE for r=1, alpha=0.33: 2.04517, time = 1.36254
Average RMSE for r=1, alpha=0.35: 2.6254, time = 1.31629
Average RMSE for r=1, alpha=0.37: 1.972, time = 1.27886
Average RMSE for r=1, alpha=0.39: 2.13846, time = 1.283
Average RMSE for r=1, alpha=0.41: 2.10353, time = 1.36294
Average RMSE for r=1, alpha=0.43: 2.09654, time = 1.3149
Average RMSE for r=1, alpha=0.45: 2.21273, time = 1.28917
Average RMSE for r=1, alpha=0.47: 2.09938, time = 1.45579
Average RMSE for r=1, alpha=0.49: 1.87061, time = 1.34042
Average RMSE for r=1, alpha=0.51: 2.02321, time = 1.41495
Average RMSE for r=1.25, alpha=0.15: 2.42023, time = 1.18461
Average RMSE for r=1.25, alpha=0.17: 2.90827, time = 1.22985
Average RMSE for r=1.25, alpha=0.19: 2.76159, time = 1.23468
Average RMSE for r=1.25, alpha=0.21: 2.51409, time = 1.23297
Average RMSE for r=1.25, alpha=0.23: 3.13408, time = 1.22341
Average RMSE for r=1.25, alpha=0.25: 3.59015, time = 1.40328
Average RMSE for r=1.25, alpha=0.27: 3.43314, time = 1.45121
Average RMSE for r=1.25, alpha=0.29: 3.03976, time = 1.25903
Average RMSE for r=1.25, alpha=0.31: 2.06117, time = 1.34078
Average RMSE for r=1.25, alpha=0.33: 2.19559, time = 1.27293
Average RMSE for r=1.25, alpha=0.35: 2.05749, time = 1.30464
Average RMSE for r=1.25, alpha=0.37: 2.352, time = 1.48948
Average RMSE for r=1.25, alpha=0.39: 1.8556, time = 1.40828
Average RMSE for r=1.25, alpha=0.41: 2.12521, time = 1.38239
Average RMSE for r=1.25, alpha=0.43: 3.18086, time = 1.47793
Average RMSE for r=1.25, alpha=0.45: 2.63561, time = 1.34757
Average RMSE for r=1.25, alpha=0.47: 2.017, time = 1.3015
Average RMSE for r=1.25, alpha=0.49: 1.88886, time = 1.513
Average RMSE for r=1.25, alpha=0.51: 1.93372, time = 1.53304
Average RMSE for r=1.5, alpha=0.15: 2.29185, time = 1.2794
Average RMSE for r=1.5, alpha=0.17: 3.54099, time = 1.19387
Average RMSE for r=1.5, alpha=0.19: 3.18405, time = 1.28251
Average RMSE for r=1.5, alpha=0.21: 3.22745, time = 1.29532
Average RMSE for r=1.5, alpha=0.23: 2.29676, time = 1.13785
Average RMSE for r=1.5, alpha=0.25: 2.69142, time = 1.29919
Average RMSE for r=1.5, alpha=0.27: 2.40658, time = 1.15769
Average RMSE for r=1.5, alpha=0.29: 2.40973, time = 1.2994
Average RMSE for r=1.5, alpha=0.31: 2.1955, time = 1.3093
Average RMSE for r=1.5, alpha=0.33: 2.30883, time = 1.29532
Average RMSE for r=1.5, alpha=0.35: 3.19591, time = 1.25995
Average RMSE for r=1.5, alpha=0.37: 2.86303, time = 1.39184
