
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Average RMSE for r=1, alpha=0: 2.81452, time = 2.22229
Average RMSE for r=1, alpha=0.01: 3.3098, time = 1.87886
Average RMSE for r=1, alpha=0.02: 2.8557, time = 1.9278
Average RMSE for r=1, alpha=0.03: 2.59075, time = 1.92765
Average RMSE for r=1, alpha=0.04: 2.19964, time = 1.90016
Average RMSE for r=1, alpha=0.05: 2.02631, time = 1.93028
Average RMSE for r=1, alpha=0.06: 2.11546, time = 1.94137
Average RMSE for r=1, alpha=0.07: 1.55393, time = 1.91417
Average RMSE for r=1, alpha=0.08: 0.952269, time = 1.90928
Average RMSE for r=1, alpha=0.09: 1.23846, time = 1.91391
Average RMSE for r=1, alpha=0.1: 0.776879, time = 1.90664
Average RMSE for r=1, alpha=0.11: 0.840001, time = 1.91224
Average RMSE for r=1, alpha=0.12: 0.996173, time = 1.92402
Average RMSE for r=1, alpha=0.13: 0.816961, time = 1.91092
Average RMSE for r=1, alpha=0.14: 0.769937, time = 1.93288
Average RMSE for r=1, alpha=0.15: 0.672836, time = 1.90157
Average RMSE for r=1, alpha=0.16: 0.662524, time = 1.92868
Average RMSE for r=1, alpha=0.17: 0.616959, time = 1.88608
Average RMSE for r=1, alpha=0.18: 0.663329, time = 1.88361
Average RMSE for r=1, alpha=0.19: 0.688165, time = 1.9072
Average RMSE for r=1, alpha=0.2: 0.642514, time = 1.88083
Average RMSE for r=1, alpha=0.21: 0.659987, time = 1.88225
Average RMSE for r=1, alpha=0.22: 0.61514, time = 1.88362
Average RMSE for r=1, alpha=0.23: 0.679299, time = 1.89583
Average RMSE for r=1, alpha=0.24: 0.67036, time = 1.8799
Average RMSE for r=1, alpha=0.25: 0.655319, time = 1.89136
Average RMSE for r=1, alpha=0.26: 0.692509, time = 1.8825
Average RMSE for r=1, alpha=0.27: 0.635484, time = 1.88736
Average RMSE for r=1, alpha=0.28: 0.683057, time = 1.88673
Average RMSE for r=1, alpha=0.29: 0.655069, time = 1.87699
Average RMSE for r=1, alpha=0.3: 0.684368, time = 1.91465
Average RMSE for r=1, alpha=0.31: 0.703033, time = 1.91431
Average RMSE for r=1, alpha=0.32: 0.716686, time = 1.9667
Average RMSE for r=1, alpha=0.33: 0.687303, time = 1.90332
Average RMSE for r=1, alpha=0.34: 0.656665, time = 1.90162
Average RMSE for r=1, alpha=0.35: 0.696899, time = 1.91693
Average RMSE for r=1.2, alpha=0: 3.37759, time = 1.9051
Average RMSE for r=1.2, alpha=0.01: 2.29647, time = 1.92084
Average RMSE for r=1.2, alpha=0.02: 2.67056, time = 1.91288
Average RMSE for r=1.2, alpha=0.03: 1.88369, time = 1.9289
Average RMSE for r=1.2, alpha=0.04: 1.42241, time = 1.93727
Average RMSE for r=1.2, alpha=0.05: 1.62427, time = 1.91158
Average RMSE for r=1.2, alpha=0.06: 1.6361, time = 1.96077
Average RMSE for r=1.2, alpha=0.07: 1.45331, time = 1.89327
Average RMSE for r=1.2, alpha=0.08: 1.09913, time = 1.88514
Average RMSE for r=1.2, alpha=0.09: 0.676425, time = 1.88812
Average RMSE for r=1.2, alpha=0.1: 0.743857, time = 1.88755
Average RMSE for r=1.2, alpha=0.11: 0.758805, time = 1.92732
Average RMSE for r=1.2, alpha=0.12: 0.692714, time = 1.92155
Average RMSE for r=1.2, alpha=0.13: 0.635314, time = 1.89295
Average RMSE for r=1.2, alpha=0.14: 0.702528, time = 1.89216
Average RMSE for r=1.2, alpha=0.15: 0.716402, time = 1.88671
Average RMSE for r=1.2, alpha=0.16: 0.703196, time = 1.8832
Average RMSE for r=1.2, alpha=0.17: 0.667284, time = 1.89187
Average RMSE for r=1.2, alpha=0.18: 0.608514, time = 1.88468
Average RMSE for r=1.2, alpha=0.19: 0.599029, time = 1.89299
Average RMSE for r=1.2, alpha=0.2: 0.607609, time = 1.89093
Average RMSE for r=1.2, alpha=0.21: 0.607736, time = 1.88696
Average RMSE for r=1.2, alpha=0.22: 0.671196, time = 1.89293
Average RMSE for r=1.2, alpha=0.23: 0.639164, time = 1.90197
Average RMSE for r=1.2, alpha=0.24: 0.641056, time = 1.88532
Average RMSE for r=1.2, alpha=0.25: 0.627636, time = 1.88592
Average RMSE for r=1.2, alpha=0.26: 0.633475, time = 1.88857
Average RMSE for r=1.2, alpha=0.27: 0.623684, time = 1.93223
Average RMSE for r=1.2, alpha=0.28: 0.645229, time = 1.8878
Average RMSE for r=1.2, alpha=0.29: 0.600217, time = 1.89206
Average RMSE for r=1.2, alpha=0.3: 0.715443, time = 1.89556
Average RMSE for r=1.2, alpha=0.31: 0.661736, time = 1.89692
Average RMSE for r=1.2, alpha=0.32: 0.646965, time = 1.88319
Average RMSE for r=1.2, alpha=0.33: 0.637368, time = 1.88397
Average RMSE for r=1.2, alpha=0.34: 0.676814, time = 1.88104
Average RMSE for r=1.2, alpha=0.35: 0.68056, time = 1.88201
Average RMSE for r=1.4, alpha=0: 3.35643, time = 1.91443
Average RMSE for r=1.4, alpha=0.01: 2.96627, time = 1.88564
Average RMSE for r=1.4, alpha=0.02: 1.95484, time = 1.88824
Average RMSE for r=1.4, alpha=0.03: 1.01879, time = 1.90688
Average RMSE for r=1.4, alpha=0.04: 1.63179, time = 1.89626
Average RMSE for r=1.4, alpha=0.05: 1.54921, time = 1.91711
Average RMSE for r=1.4, alpha=0.06: 1.08971, time = 1.91124
Average RMSE for r=1.4, alpha=0.07: 0.801637, time = 1.93408
Average RMSE for r=1.4, alpha=0.08: 0.760469, time = 1.89902
Average RMSE for r=1.4, alpha=0.09: 0.670429, time = 1.91226
Average RMSE for r=1.4, alpha=0.1: 0.677599, time = 1.88342
Average RMSE for r=1.4, alpha=0.11: 0.580701, time = 1.89398
Average RMSE for r=1.4, alpha=0.12: 0.623488, time = 1.89417
Average RMSE for r=1.4, alpha=0.13: 0.620107, time = 1.88213
Average RMSE for r=1.4, alpha=0.14: 0.646699, time = 1.88451
Average RMSE for r=1.4, alpha=0.15: 0.593647, time = 1.88316
Average RMSE for r=1.4, alpha=0.16: 0.606359, time = 1.8819
Average RMSE for r=1.4, alpha=0.17: 0.629194, time = 1.88373
Average RMSE for r=1.4, alpha=0.18: 0.606042, time = 1.89211
Average RMSE for r=1.4, alpha=0.19: 0.651846, time = 1.88465
Average RMSE for r=1.4, alpha=0.2: 0.582647, time = 1.884
Average RMSE for r=1.4, alpha=0.21: 0.651865, time = 1.88986
